"","x"
"877",-0.074301265
"878",0.002227415
"879",-0.167054085
"880",-0.006546072
"881",0.061313185
"882",-0.056170271
"883",0.080138857
"884",-0.060564412
"885",0.598313078
"886",0.067139303
"887",0.059321215
"888",-0.205852054
"889",0.040742962
"890",-0.016469155
"891",-0.007713425
"892",0.058136027
"893",0.145044435
"894",-0.022791175
"895",-0.091323609
"896",0.085759477
"897",0.242500446
"898",0.264054751
"899",-0.053400777
"900",-0.0168608
"901",0.074580294
"902",0.020834087
"903",0.026000815
"904",0.045556532
"905",-0.038051092
"906",0.025742888
"907",0.09643694
"908",0.120212009
"909",-0.168062668
"910",-0.098671528
"911",0.028192738
"912",-0.35319668
"913",0.039514543
"914",-0.003979588
"915",0.012112724
"916",-0.169723853
"917",0.144976304
"918",-0.006286505
"919",-0.041211348
"920",0.06105182
"921",0.002355714
"922",-0.063253764
"923",-0.007217362
"924",0.02328276
"925",-0.02042972
"926",0.039730581
"927",-0.243573991
"928",0.076322268
"929",-0.034480619
"930",-0.02112895
"931",-0.041702664
"932",-0.024231783
"933",0.029062816
"934",0.039050515
"935",-0.098792719
"936",-0.084624935
"937",-0.028226682
"938",0.027931385
"939",0.073150882
"940",0.029066277
"941",-0.000917485
"942",-0.053109825
"943",-0.000481732
"944",0.033093688
"945",0.125401267
"946",-0.183763038
"947",-0.397767538
"948",-0.149166453
"949",0.020821328
"950",0.009667405
"951",0.20868661
"952",0.021978907
"953",-0.680826696
"954",0.030305349
"955",0.137140414
"956",0.023355626
"957",-0.021411333
"958",0.005909684
"959",0.079213136
"960",0.045496012
"961",0.040656006
"962",0.049993561
"963",-0.173510927
"964",-0.023593217
"965",0.059488607
"966",-0.301924429
"967",-0.062166437
"968",0.086924809
"969",0.053935723
"970",-0.129729107
"971",0.005529968
"972",0.020650444
"973",-0.077333203
"974",-0.066746392
"975",-0.022700468
"976",-0.093090423
"977",0.046785486
"978",-0.016751239
"979",-0.023810649
"980",-0.033476941
"981",-0.024887476
"982",-0.082216824
"983",-0.168335315
"984",-0.043759299
"985",-0.689763083
"986",-0.013653102
"987",0.062965849
"988",-0.182321557
"989",0.000751597
"990",-0.156853006
"991",0.020664942
"992",0.040019891
"993",-0.159288731
"994",-0.036609746
"995",0.021719612
"996",-0.006343032
"997",0.033057792
"998",-0.012373781
"999",-0.07089945
"1000",-0.128318248
"1001",-0.225058649
"1002",0.045249006
"1003",-0.069147379
"1004",-0.01020417
"1005",0.037624305
"1006",-0.056891797
"1007",0.089363681
"1008",0.004019067
"1009",-0.269172046
"1010",-0.082114687
"1011",0.120817253
"1012",0.013402262
"1013",0.019647557
"1014",-0.111651366
"1015",-0.029536741
"1016",-0.071527927
"1017",0.029282805
"1018",0.048611485
"1019",0.023083328
"1020",0.058289473
"1021",-0.231010614
"1022",-0.143338501
"1023",-0.004566218
"1024",-0.00801702
"1025",0.092390266
"1026",0.029743334
"1027",0.065471741
"1028",-0.036296247
"1029",-0.064762711
"1030",-0.025733904
"1031",-0.147100122
"1032",-0.010986497
"1033",0.042986126
"1034",-7.61e-06
"1035",-0.07652672
"1036",-0.106137818
"1037",-0.128643246
"1038",0.002777008
"1039",0.046159989
"1040",0.237507972
"1041",-0.10883878
"1042",0.028422861
"1043",0.00835849
"1044",0.047304535
"1045",0.068561766
"1046",0.01268516
"1047",0.187384859
"1048",0.093166556
"1049",-0.064538521
"1050",-0.020229955
"1051",-0.009181169
"1052",-0.131096524
"1053",0.063821932
"1054",0.062466312
"1055",-0.002487563
"1056",0.027601792
"1057",0.030487977
"1058",0.179060093
"1059",-0.116375576
"1060",-0.232151222
"1061",-0.134078888
"1062",-0.012315427
"1063",0.004140793
"1064",0.025709364
"1065",-0.037979248
"1066",0.07609208
"1067",0.021233954
"1068",0.035384527
"1069",-0.002771587
"1070",-0.018237588
"1071",0.040269734
"1072",-0.01911321
"1073",0.024734736
"1074",-0.07268632
"1075",0.14015534
"1076",0.003454127
"1077",0.037114929
"1078",-0.061004056
"1079",-0.048151193
"1080",-0.019859199
"1081",0.073229694
"1082",-0.012843298
"1083",0.074698349
"1084",0.086337435
"1085",-0.010238997
"1086",0.055308288
"1087",-0.046883586
"1088",0.059514128
"1089",-0.034231105
"1090",0.015875485
"1091",0.03026203
"1092",-0.076796784
"1093",-0.132277308
"1094",0.024989732
"1095",0.018196105
"1096",0.103468011
"1097",0.02319405
"1098",-0.05375671
"1099",-0.066211695
"1100",0.00228441
"1101",0.130770231
"1102",0.044499435
"1103",-0.077720974
"1104",-0.019048195
"1105",0.003577821
"1106",-0.120355803
"1107",-0.180372238
"1108",0.021567238
"1109",0.076458567
"1110",0.032914293
"1111",0.055843559
"1112",-0.027248473
"1113",0.000860585
"1114",0.032862851
"1115",0.096120635
"1116",0.024834132
"1117",-0.020099744
"1118",-0.203877882
"1119",0.00415801
"1120",0.059855264
"1121",0.052770036
"1122",0.041658584
"1123",0.014348669
"1124",0.028735889
"1125",0.001632653
"1126",0.010903344
"1127",0.02678743
"1128",0.016892508
"1129",-0.019845021
"1130",0.114082413
"1131",0.354621555
"1132",0.121081517
"1133",0.085485597
"1134",0.11475192
"1135",-0.048677048
"1136",0.039836287
"1137",0.045722721
"1138",-0.031468928
"1139",0.033673215
"1140",0.055685817
"1141",-0.014588657
"1142",-0.092027802
"1143",-0.016494542
"1144",-0.053488685
"1145",0.053085866
"1146",0.020952473
"1147",-0.099304393
"1148",0.007301587
"1149",0.042278306
"1150",0.071561281
"1151",0.05632241
"1152",0.023874834
"1153",0.006203832
"1154",0.038902621
"1155",0.05612089
"1156",-0.193584749
"1157",0.049936953
"1158",0.015584731
"1159",-0.015810606
"1160",0.216730336
"1161",-0.02305228
"1162",0.092271049
"1163",-0.141411654
"1164",-0.101746326
"1165",-0.018131918
"1166",-0.04227152
"1167",-0.030223328
"1168",0.029102583
"1169",-0.119095085
"1170",0.171815145
"1171",0.089267865
"1172",-0.044171218
"1173",-0.085725432
"1174",-0.06366724
"1175",0.046043806
"1176",0.039993739
"1177",0.052838492
"1178",0.305854277
"1179",-0.00623055
"1180",0.003103986
"1181",0.039099075
"1182",0.059357764
"1183",-0.006383971
"1184",0.107098136
"1185",0.036023531
"1186",0.000752918
"1187",0.104111347
"1188",-0.039424734
"1189",-0.030993239
"1190",-0.150422008
"1191",-0.034540325
"1192",-0.075939775
"1193",-0.147343302
"1194",0.039094827
"1195",-0.109610244
"1196",-0.060112982
"1197",-0.041801221
"1198",0.026954698
"1199",0.03982351
"1200",0.004385972
"1201",0.198670695
"1202",0.017111434
"1203",0.009434032
"1204",-0.028486709
"1205",0.045312348
"1206",0.024769068
"1207",0.131769278
"1208",-0.06488444
"1209",-0.258482918
"1210",0.014317639
"1211",0.034793154
"1212",0.006699589
"1213",0.040015919
"1214",0.025548835
"1215",0.107590463
"1216",0.294409393
"1217",0.331357136
"1218",-0.01318851
"1219",0.034035722
"1220",-0.017046856
"1221",-0.030418493
"1222",-0.022222327
"1223",0.026091203
"1224",-0.046465051
"1225",-0.103052507
"1226",0.021506205
"1227",0.013072082
"1228",-0.120806927
"1229",0.22181817
"1230",0.038000215
"1231",-0.295117051
"1232",0.005528694
"1233",0.06580151
"1234",-0.140785071
"1235",-0.04894853
"1236",0.062151324
"1237",0.004922077
"1238",0.03550059
"1239",0.057526589
"1240",-0.068726751
"1241",-0.094558583
"1242",-0.066355052
"1243",0.068137236
"1244",-0.053568296
"1245",0.057158414
"1246",0.050921409
"1247",0.011778312
"1248",0.026188912
"1249",0.024622847
"1250",-0.014864023
"1251",-0.231695833
"1252",-0.105580562
"1253",-0.132992454
"1254",-0.028825799
"1255",0.12095261
"1256",-0.003984069
"1257",-0.073099653
"1258",0
"1259",0.013013996
"1260",0.747616089
"1261",0.03523252
"1262",0.038777071
"1263",-0.00801786
"1264",0.024149743
"1265",0.317926888
"1266",0.12774685
"1267",0.09480954
"1268",0.021020626
"1269",-0.012247551
"1270",0.037866439
"1271",-0.075076026
"1272",-0.05844957
"1273",0.058331869
"1274",-0.014194791
"1275",-0.07793092
"1276",-0.024022279
"1277",0.059539262
"1278",0.236004713
"1279",-0.033635957
"1280",-0.001961426
"1281",0.00218055
"1282",0.205351804
"1283",0.033496515
"1284",0.040745068
"1285",0.036047375
"1286",-0.002827999
"1287",0.041239444
"1288",-0.013788999
"1289",-0.033630792
"1290",-0.024592164
"1291",-0.126223199
"1292",0.077384131
"1293",-0.009635822
"1294",0.255182905
"1295",0.063369614
"1296",0.056568441
"1297",0.032733327
"1298",-0.055569851
"1299",0.013008918
"1300",0.076082306
"1301",-0.154349349
"1302",0.003856321
"1303",0.233691021
"1304",0.053201287
"1305",0.196618184
"1306",0
"1307",-0.081605541
"1308",0
"1309",-0.26553133
"1310",0.063074687
"1311",-0.019802627
"1312",-0.04399732
"1313",-0.05836137
"1314",-0.066778338
"1315",-0.05635554
"1316",-0.004653926
"1317",0.002627136
"1318",-0.022044981
"1319",0.173867045
"1320",0.074771584
"1321",0.024017587
"1322",0.025833122
"1323",-0.062177245
"1324",-0.053846056
"1325",-0.032106432
"1326",0.014734845
"1327",-0.034888857
"1328",0.099623436
"1329",0.015376175
"1330",-0.00234797
"1331",0.028089573
